Algoritmo,Tam_tablero,Estados_recorridos,Val_minimo,poblacion,time_seg
Simulated Annealing,8,5,0,NA,0.0015358924865722656
Simulated Annealing,8,3,0,NA,0.0009305477142333984
Simulated Annealing,8,10,0,NA,0.002992391586303711
Simulated Annealing,8,4,0,NA,0.0012290477752685547
Simulated Annealing,8,16,0,NA,0.004786252975463867
Simulated Annealing,8,2,0,NA,0.0006432533264160156
Simulated Annealing,8,5,0,NA,0.00154876708984375
Simulated Annealing,8,2,0,NA,0.0006415843963623047
Simulated Annealing,8,7,0,NA,0.0021195411682128906
Simulated Annealing,8,3,0,NA,0.0009441375732421875
Simulated Annealing,8,3,0,NA,0.0009324550628662109
Simulated Annealing,8,3,0,NA,0.0009307861328125
Simulated Annealing,8,24,0,NA,0.0071430206298828125
Simulated Annealing,8,4,0,NA,0.0012335777282714844
Simulated Annealing,8,2,0,NA,0.000640869140625
Simulated Annealing,8,37,0,NA,0.010917425155639648
Simulated Annealing,8,28,0,NA,0.008308887481689453
Simulated Annealing,8,2,0,NA,0.0006392002105712891
Simulated Annealing,8,3,0,NA,0.0009279251098632812
Simulated Annealing,8,22,0,NA,0.006557941436767578
Simulated Annealing,8,3,0,NA,0.0009381771087646484
Simulated Annealing,8,6,0,NA,0.0018303394317626953
Simulated Annealing,8,5,0,NA,0.0015215873718261719
Simulated Annealing,8,7,0,NA,0.002146482467651367
Simulated Annealing,8,7,0,NA,0.0021131038665771484
Simulated Annealing,8,2,0,NA,0.0006439685821533203
Simulated Annealing,8,1,0,NA,0.00035691261291503906
Algoritmo Genetico,8,0,0,90,0.005141258239746094
Algoritmo Genetico,8,0,0,90,0.005216121673583984
Algoritmo Genetico,8,2,0,90,0.013682126998901367
Algoritmo Genetico,8,1,0,90,0.009259223937988281
Algoritmo Genetico,8,2,0,90,0.013292551040649414
Algoritmo Genetico,8,2,0,90,0.013379335403442383
Algoritmo Genetico,8,1,0,90,0.009312629699707031
Algoritmo Genetico,8,1,0,90,0.009288787841796875
Algoritmo Genetico,8,0,0,90,0.005145072937011719
Algoritmo Genetico,8,1,0,90,0.009283304214477539
Algoritmo Genetico,8,0,0,90,0.005149126052856445
Algoritmo Genetico,8,0,0,90,0.00510859489440918
Algoritmo Genetico,8,0,0,90,0.005113363265991211
Algoritmo Genetico,8,0,0,90,0.005109071731567383
Algoritmo Genetico,8,1,0,90,0.009186744689941406
Algoritmo Genetico,8,3,0,90,0.017325878143310547
Algoritmo Genetico,8,2,0,90,0.0131988525390625
Algoritmo Genetico,8,1,0,90,0.00919961929321289
Algoritmo Genetico,8,2,0,90,0.013379812240600586
Algoritmo Genetico,8,0,0,90,0.005170583724975586
Algoritmo Genetico,8,1,0,90,0.009237289428710938
Algoritmo Genetico,8,4,0,90,0.021488666534423828
Algoritmo Genetico,8,2,0,90,0.013330221176147461
Algoritmo Genetico,8,2,0,90,0.013305187225341797
Algoritmo Genetico,8,4,0,90,0.0213162899017334
Algoritmo Genetico,8,4,0,90,0.02145552635192871
Algoritmo Genetico,8,3,0,90,0.01751399040222168
Algoritmo Genetico,8,2,0,90,0.013397455215454102
Algoritmo Genetico,8,2,0,90,0.013397693634033203
Algoritmo Genetico,8,2,0,90,0.013457298278808594
Hill Climbing,10,4,1,NA,0.002313852310180664
Hill Climbing,10,2,1,NA,0.0011785030364990234
Hill Climbing,10,3,1,NA,0.0017468929290771484
Hill Climbing,10,2,1,NA,0.0011873245239257812
Hill Climbing,10,4,1,NA,0.0022912025451660156
Hill Climbing,10,2,2,NA,0.0011959075927734375
Hill Climbing,10,3,1,NA,0.001728057861328125
Hill Climbing,10,4,1,NA,0.0023005008697509766
Hill Climbing,10,3,0,NA,0.0017139911651611328
Hill Climbing,10,2,1,NA,0.0011823177337646484
Hill Climbing,10,2,2,NA,0.001186370849609375
Hill Climbing,10,5,1,NA,0.002827167510986328
Hill Climbing,10,4,0,NA,0.0023033618927001953
Hill Climbing,10,3,1,NA,0.0017189979553222656
Hill Climbing,10,2,1,NA,0.001178741455078125
Hill Climbing,10,2,1,NA,0.0011763572692871094
Hill Climbing,10,3,0,NA,0.0017256736755371094
Hill Climbing,10,4,2,NA,0.002266407012939453
Hill Climbing,10,5,1,NA,0.0028488636016845703
Hill Climbing,10,4,1,NA,0.0022764205932617188
Hill Climbing,10,2,1,NA,0.00118255615234375
Hill Climbing,10,3,1,NA,0.0017268657684326172
Hill Climbing,10,3,1,NA,0.001725912094116211
Hill Climbing,10,3,1,NA,0.0017249584197998047
Hill Climbing,10,4,1,NA,0.0022690296173095703
Hill Climbing,10,3,0,NA,0.0017344951629638672
Hill Climbing,10,2,2,NA,0.0011777877807617188
Hill Climbing,10,2,0,NA,0.0011806488037109375
